Year,HeadQuarter,Sector,Founders,Investor,Stage,Company_Brand,What_it_does,Amount
2017-01-01,Gurugram,E-commerce,"Amit Monga, Nakul Singh, Vibhor Sahare, Sushant Puri","Gokul Rajaram, Venture Catalysts",Series H,ANS Commerce,ANS Commerce is India’s #1 full-stack e-commerce enabler helping brands sell online.,2200000.0
2008-01-01,Mumbai,Information Technology & Services,"Amitabh Kanekar, Satyajit Kanekar",Kvanto Payment Services,Venture - Series Unknown,Mobileware Technologies,"A mobile applications development platform for technologies including Symbian, Blackberry, and early versions of iOS and Android.",4700000.0
2016-01-01,Noida,Insurance,Dhyanesh Bhatt,"Siana Capital, Inflexor Ventures, Stride Ventures",Series A,GramCover,GramCover is a tech-enabled insurance marketplace for rural India.,7000000.0
2011-01-01,Bengaluru,EdTech,"Byju Raveendran, Divya Gokulnath","Oxshott Capital Partners, XN Exponent, Edelweiss",Private Equity,BYJU'S,BYJU’S is India's largest ed-tech company and the creator of India’s most loved school learning app.,300000000.0
2021-01-01,Bengaluru,Information Technology & Services,"Ramanathan RV, Aishwarya Jaishankar","Kunal Shah, Better Capital",Pre-Seed,Hyperface,Empowering Brands and Fintechs to offer banking products contextually to their customers.,1300000.0
2015-01-01,Bengaluru,Food & Beverages,"Vivek Gupta, Abhay","Venture Catalysts, 9Unicorns Accelerator Fund",Series G,Licious,"Licious is a consumer food company, focussed at delighting the world with an unmatched range of meat & meat products.",52000000.0
2014-01-01,Mumbai,Mobility,Utham Gowda,"Lightrock India, Filter Capital",Series C,Chalo,India’s #1 bus transport technology company.,40000000.0
2005-01-01,Chennai,Information Technology & Services,Maran Nagarajan,BlackSoil,Private Equity,Kaar Technologies,"Kaar Technologies is an SAP global consultancy firm that designs, delivers and deploys cutting-edge SAP solutions for businesses around the world.",4000000.0
2021-01-01,Jharkhand,Farming,Ravi Dasoundhi,EKKI,Seed,Kissan Pro,"Full stack solution on agri advisory, input purchase and market linkage",3000000.0
2011-01-01,Gurugram,EdTech,Ritesh Agarwal,WestBridge Capital,Series B,Sunstone Eduversity,Sunstone Eduversity is a one-of-its-kind business school operating in an asset-light model since 2011.,28000000.0
2007-01-01,Hyderabad,Telecommunications,"CSN Murthy, Atul Sharma",Stakeboat Capital,Series A,Ozonetel,Ozonetel is leading Cloud Telephony solution provider.,5000000.0
2017-01-01,Bengaluru,Finance,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari","Coinbase Ventures, Andreessen Horowitz",Series C,CoinSwitch Kuber,"CoinSwitch Kuber is the largest crypto trading platform in India with a user base of 10M+, in just 15 months and growing every second.",260000000.0
2020-01-01,Bengaluru,Insurance,"Sanchit Malik, Manish Mishra","BEENEXT, 3one4 Capital",Seed,Pazcare,Paz Care is India's leading Employee Benefits & Health insurance platform,3500000.0
2020-01-01,Bengaluru,Transport,"Siddharth Janghu, Kartik Gupta, Anupriya","Let’s Venture, Better Capital",Seed,kWh Bikes,Building India’s strongest and smartest electric 2 wheelers,2000000.0
2006-01-01,Bengaluru,Information Technology & Services,"C M Grover, TM Manjunath",Venture Catalysts,Series I,IBSFINtech,"Driving Digitization & Automation of Cash & Liquidity, Risk, Treasury & Trade Finance functions of the Corporate.",1000000.0
2011-01-01,Bengaluru,Computer Software,Nilesh Patel,Inflection Point Ventures,Seed,LeadSquared,"LeadSquared is a marketing automation and sales execution platform that helps businesses increase their closures, manage their pipelines",3000000.0
2017-01-01,Kanpur,Renewables & Environment,Ankit Agarwal,"Alia Bhatt, IAN Fund, Social Alpha, Draper Richards Kaplan Foundation",Series F,Phool.co,Flowercycling technologies to upcycle cellulose waste and specialises in manufacturing charcoal-free incense and other wellness products,3000000.0
2018-01-01,Chennai,"Health, Wellness & Fitness",Jahangir Mohammed,"Sequoia Capital India, ICONIQ Capital, Perceptive Advisors",Series C,Twin Health,Twin Health invented the Whole Body Digital Twin™ to help reverse and prevent chronic metabolic diseases.,140000000.0
2021-01-01,Mumbai,Equity Management,Nimesh Kampani,LetsVenture,Seed,Trica,Powering private markets - A technology platform for startups and investors.,3000000.0
2020-01-01,New Delhi,"Health, Wellness & Fitness","Rajesh Munjal, Balwinder Singh, Monika Garg",India Accelerator,Seed,mHealth,mHealth  is AI based corporate wellness platform  to spread happiness & well-being,3000000.0
2011-01-01,Mumbai,Cloud kitchen,"Jaydeep Barman, Kallol Banerjee.",Qatar Investment Authority,Series F,Rebel Foods,"World’s largest internet restaurant company. Building Unique, Memorable, Delightful & Sure delivery-only restaurants.",175000000.0
2020-01-01,Mumbai,Marketing & Advertising,"Vivek Bhargava, Gautam Mehra, Aman Khanna","Netcore Cloud, Vallabh Bhansali, Jimmy Mahtani",Seed,ProfitWheel,ProfitWheel's belief is that only a fraction of customers drive the most profitability for a brand - and we want to help increase their high value customer base.,3000000.0
2014-01-01,Bengaluru,Nanotechnology,Akshay Singhal,Petronas Ventures,Series D,Log 9 Materials,Log9 Materials is on a mission to make global energy 100% clean.,2000000.0
2018-01-01,Bengaluru,Entertainment,Sumit Ghosh,Solana,Series I,Chingari,"Chingari - Bharat Ka Super Entertainment App. A unique and fun short video app, can create interesting videos and share them with the world.",19000000.0
2018-01-01,Ahmedabad,Computer Software,Jitesh Dadlani,Inflection Point Ventures,Series E,Ishitva,"Sort to create value’ using #AI, #Robotics and #AirSorter to achieve a #circulareconomy with environmental benefits.",1000000.0
2017-01-01,Bengaluru,Transport,Bhavish Aggarwal,"Falcon Edge, Softbank",Private Equity,Ola Electric,Sustainability for the future.,200000000.0
2014-01-01,Gurugram,Community,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Enzia Ventures, Kunal Shah",Series B+,leap.club,A community-led professional network for women,810000.0
2018-01-01,New Delhi,Retail,"Raghav Arora, Lalit Aggarwal",Auxano Capital,Seed,F5,One-Stop Solution for Daily Workplace Needs,600000.0
